soilType,alpha_vg,l_vg,n_vg,hydraulicConductivity,satVolSoilMois,fieldCapaVolSoilMois,wiltPointVolSoilMois,resVolSoilMois
default,3.14,-2.342,1.28,1.16E-06,0.439,0.347,0.151,0.01
coarse,3.83,1.25,1.38,6.94E-06,0.403,0.244,0.059,0.025
medium,3.14,-2.342,1.28,1.16E-06,0.439,0.347,0.151,0.01
medium_fine,0.83,-0.588,1.25,2.60E-07,0.43,0.383,0.133,0.01
fine,3.67,-1.977,1.1,2.87E-06,0.52,0.448,0.279,0.01
very_fine,2.65,2.5,1.1,1.74E-06,0.614,0.541,0.335,0.01
organic,1.3,0.4,1.2,9.30E-07,0.766,0.663,0.267,0.01
